Episode,DQN Baseline Avg Reward,DQN + Reward Shaping Avg Reward,DQN + Priority Replay Avg Reward
10,21.8,22.8,14.1
20,27,22.8,22.4
30,25,33.6,21.5
40,30.3,33,18.6
50,27.2,26.1,36.5
60,31,34.1,49.4
70,28.8,40.8,38.1
80,30.8,57.2,46.2
90,74.4,61.6,68.2
100,51.2,59.9,57
110,72.8,63,42.3
120,60.2,76,72.4
130,52.2,82,54.8
140,56.8,90.2,66.6
150,80.6,138.7,75.1
160,36.4,90.6,53.6
170,50.3,83.2,100.1
180,78.7,84.8,124
190,40.4,103,158.8
200,86.1,61.6,98.6
210,135.6,82,105
220,65.7,101.8,57
230,189.7,82.3,74.3
240,228.9,114.7,99.2
250,234.4,123.3,179.7
260,152.4,126.2,110
270,114.4,97.5,155.5
280,150.5,109.6,131.6
290,180.7,140.4,132.4
300,169.6,141.4,104.9
310,361.1,128.8,86.8
320,415.9,127.5,166.7
330,335.5,105.9,233.9
340,198,356.5,229.7
350,244.4,305.1,306.1
360,405.3,408.1,320.5
370,253.3,371.1,256.4
380,218.5,234,265
390,287.7,320.5,315
400,171,227.1,231.6
410,252,231.1,260.9
420,233.5,387.3,180.8
430,304.2,221.6,119.7
440,372.9,221.2,217.9
450,311.5,314.9,290.8
460,151.9,297.5,320.6
470,255.5,355.3,345.8
480,234.3,205.9,323.1
490,335.6,81.7,310.9
500,372.9,97.7,380.2
Best Reward,500,500,500
Avg Last 50,270.04,207.62,336.12
